PDF;file;title;author1;pseudonyme1;pseudonyme2;date;GALLICA;DigitalSource-1;DigitalSource-2;GOOGLE/INTERNET ARCHIVE;DigitalSource-3;refsource;Wikipedia
1;FRA00101_Adam.xml;Mon Village;Juliette Adam;Juliette Lamber;;1860;https://gallica.bnf.fr/ark:/12148/bpt6k3045979q;https://gallica.bnf.fr/ark:/12148/bpt6k3045979q;;;;firstEdition;https://fr.wikipedia.org/wiki/Juliette_Adam
1;FRA00102_Adam.xml;Païenne;Juliette Adam;Juliette Lamber (Madame Adam);;1883;https://gallica.bnf.fr/ark:/12148/bpt6k4112668;https://gallica.bnf.fr/ark:/12148/bpt6k4112668;;;;firstEdition;https://fr.wikipedia.org/wiki/Juliette_Adam
1;FRA00201_Audoux.xml;Marie-Claire;Marguerite Audoux;Marguerite Audoux;;1925;https://gallica.bnf.fr/ark:/12148/bpt6k4226212k;https://gallica.bnf.fr/ark:/12148/bpt6k4226212k;;;;firstEdition;https://fr.wikipedia.org/wiki/Marguerite Audoux
1;FRA00301_Aimard.xml;Les Trappeurs de l'Arkansas;Gustave Aimard;Gustave Aimard;;1858;https://gallica.bnf.fr/ark:/12148/bpt6k6213686g;https://gallica.bnf.fr/ark:/12148/bpt6k6213686g;;;;firstEdition;https://fr.wikipedia.org/wiki/Gustave Aimard
1;FRA00302_Aimard.xml;Belle rivière;Gustave Aimard;Gustave Aimard;;1894;https://gallica.bnf.fr/ark:/12148/bpt6k57626038;https://gallica.bnf.fr/ark:/12148/bpt6k57626038;;;;firstEdition;https://fr.wikipedia.org/wiki/Gustave Aimard
1;FRA00401_Allais.xml;Le Captain Cap;Allais Alphone;Alphone Allais;;1902;https://gallica.bnf.fr/ark:/12148/bpt6k165801v;https://gallica.bnf.fr/ark:/12148/bpt6k165801v;;;;firstEdition;https://fr.wikipedia.org/wiki/Alphonse_Allais
1;FRA00501_Balzac.xml;Albert Savarus;Honoré de Balzac;Honoré de Balzac;;1853;https://gallica.bnf.fr/ark:/12148/bpt6k5834593c;https://gallica.bnf.fr/ark:/12148/bpt6k5834593c;;;;firstEdition;https://fr.wikipedia.org/wiki/Honoré de Balzac
1;FRA00502_Balzac.xml;Le cousin Pons;Honoré de Balzac;Honoré de Balzac;;1851-1853;https://gallica.bnf.fr/ark:/12148/bpt6k1169098;https://gallica.bnf.fr/ark:/12148/bpt6k1169098;;;;firstEdition;https://fr.wikipedia.org/wiki/Honoré de Balzac
1;FRA00503_Balzac.xml;Le curé de village;Honoré de Balzac;Honoré de Balzac;;1854;https://gallica.bnf.fr/ark:/12148/bpt6k5821334m;https://gallica.bnf.fr/ark:/12148/bpt6k5821334m;;;;firstEdition;https://fr.wikipedia.org/wiki/Honoré de Balzac
1;FRA00601_Boisgobey.xml;Le crime de l'omnibus;Fortuné du Boisgobey ;Du Boisgobey Fortuné;;1881;;https://www.ebooksgratuits.com/ebooks.php;https://www.ebooksgratuits.com/pdf/du_boisgobey_crime_omnibus.pdf;;https://books.googleusercontent.com/books/content?req=AKW5QafE5ny4Q7dXWPZxscVEc5kUuWIBgT4XfrUWMdRstv2rEtkXo8p1TNK8rDgqYObqRfEwxNPhDvS9GPFbyUwPq6exfituy1VYh0KJd1SIRY7QhMa_nWF9qOYXC8M0BBMw_CMm5fqurGmnR8eFlzJVj4G-B8_WvYt2poiQWsmnW6HfFyzktRzsFci1smkrcsYK2K7SneUxE70g3-6EKBwVVt59VJgAOh23ZdE2onmpJH0kureoJ_CsNmZdq92FdPobtOzOITnSVRhKYiIjM76gp5TGQrBIYA;manuel ;https://fr.wikipedia.org/wiki/Fortun%C3%A9_du_Boisgobey
1;FRA00602_Boisgobey.xml;Rubis sur l'ongle;Fortuné du Boisgobey ;Du Boisgobey Fortuné;;1886;;(unspecified);;https://www.google.fr/books/edition/Rubis_sur_l_ongle/S6XvK-lZqiQC?hl=fr&gbpv=0;https://books.googleusercontent.com/books/content?req=AKW5Qae10tDehlWbghtoJix8Rx2x6cBhqfVJiOZxqb2dNjf5Utk9pHhn4SH5Z0aHyX0KW_jObnJ-n4W0HlTTzBILHWsOcU9UY-cqxUEv9zoXUmjG6Z0LfaSziiCAJDXla7Z6dT55sDU0I48FK19e2Q3JoMkex8GecywuajYLOByYBvo9e_UKoxAt6ui4hqNhPbDMrloFBiT8DHKxk1O6_JRWCZVrVPMuSLqrsco-Kww5HdTBBQ-AU26BpcDm19VkqotZlyCe-UbA;manuel ;https://fr.wikipedia.org/wiki/Fortun%C3%A9_du_Boisgobey
1;FRA00701_Carraud.xml;La petite Jeanne ou Le devoir;Zulma Carraud;Zulma Carraud;;1852;https://gallica.bnf.fr/ark:/12148/bpt6k64363w;https://gallica.bnf.fr/ark:/12148/bpt6k64363w;;;;printSource;https://fr.wikipedia.org/wiki/Zulma Carraud
1;FRA00801_Dash.xml;Le château de Pinon I. VOL 1.;Comtesse Dash;Comtesse Dash;;1843;https://gallica.bnf.fr/ark:/12148/bpt6k54963878;https://gallica.bnf.fr/ark:/12148/bpt6k54963878;;;;firstEdition;https://fr.wikipedia.org/wiki/Comtesse Dash
1;FRA00901_Daudet.xml;Le petit chose;Alphonse Daudet;Alphonse Daudet;;1867;https://gallica.bnf.fr/ark:/12148/bpt6k3413532f;https://gallica.bnf.fr/ark:/12148/bpt6k3413532f;;;;printSource;https://fr.wikipedia.org/wiki/Alphonse Daudet
1;FRA01002_DelarueMardrus.xml;Toutoune et son amour;Lucie Delarue-Mardrus;Lucie Delarue-Mardrus;;1919;;https://fr.wikisource.org/wiki/Toutoune_et_son_amour;;https://upload.wikimedia.org/wikipedia/commons/f/f0/Delarue-Mardrus_-_Toutoune_et_son_amour.pdf;;digitalSource;https://fr.wikipedia.org/wiki/Lucie Delarue-Mardrus
0;FRA01101_Dombre.xml;Une pupille gênante;Dombre Roger;Dombre Roger;;1890;;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com/vents-xpdf/Dombre-pupille.pdf;;;digitalSource;NONE
0;FRA01102_Dombre.xml;Folla;Dombre Roger;Dombre Roger;;1889;;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com/vents-xpdf/Dombre-Folla.pdf;;;digitalSource;NONE
1;FRA01201_Feval.xml;Le Cavalier Fortune;Paul Féval;Paul Féval;;1868;;https://www.ebooksgratuits.com/ebooks.php;https://www.ebooksgratuits.com/pdf/feval_le_cavalier_fortune.pdf;https://www.google.fr/books/edition/Le_cavalier_Fortune/v4FVZlZtcsYC?hl=fr&gbpv=0;https://books.googleusercontent.com/books/content?req=AKW5Qaem2_ZPBNANYXlDsMjNn2KrGnlswuB04iHtj7-gUbqU0DFieMzLebKWDA0ILuH6IlFyhCplU6A26FYO99pxsqYnMj49aOHNTf73zrc6OxQi13UL4iXyV27b7cSD_cVMjfBbuh3oHCKJHdheaev7qLV8RUSSsuh5olySu3pewwFOngRweFkPM4bm0Dn1qM1ZNgSLaTEjNRwAsFMy-am-x0zah5vWBLTlzCCEfRDRG9Bh7zdUqiCW3oAAOcvzHCvRfpRkjx_n;manuel ;https://fr.wikipedia.org/wiki/Paul Féval
1;FRA01202_Feval.xml;Les errants de nuit;Paul Féval;Paul Féval;;1857;https://gallica.bnf.fr/ark:/12148/bpt6k6541902r;https://gallica.bnf.fr/ark:/12148/bpt6k6541902r;;;;printSource;https://fr.wikipedia.org/wiki/Paul Féval
1;FRA01203_Feval.xml;Le loup blanc;Paul Féval;Paul Féval;;1845;https://gallica.bnf.fr/ark:/12148/bpt6k80334r;https://gallica.bnf.fr/ark:/12148/bpt6k80334r;;;;printSource;https://fr.wikipedia.org/wiki/Paul Féval
1;FRA01301_Flaubert.xml;L'Éducation sentimentale histoire d'un jeune homme;Gustave Flaubert;Gustave Flaubert;;1869;https://gallica.bnf.fr/ark:/12148/bpt6k6576703v;https://gallica.bnf.fr/ark:/12148/bpt6k6576703v;;;;printSource;https://fr.wikipedia.org/wiki/Gustave Flaubert
1;FRA01302_Flaubert.xml;Madame Bovary;Gustave Flaubert;Gustave Flaubert;;1857;https://gallica.bnf.fr/ark:/12148/btv1b8619658w;https://gallica.bnf.fr/ark:/12148/btv1b8619658w;;;;firstEdition;https://fr.wikipedia.org/wiki/Gustave Flaubert
1;FRA01303_Flaubert.xml;Salammbô;Gustave Flaubert;Gustave Flaubert;;1862;https://gallica.bnf.fr/ark:/12148/btv1b8626108m;https://gallica.bnf.fr/ark:/12148/btv1b8626108m;;;;printSource;https://fr.wikipedia.org/wiki/Gustave Flaubert
1;FRA01401_Fleuriot.xml;Un enfant gâté;Zénaïde Fleuriot;Zénaïde Fleuriot;;1877;https://gallica.bnf.fr/ark:/12148/bpt6k6567040r;https://gallica.bnf.fr/ark:/12148/bpt6k6567040r;;;;printSource;https://fr.wikipedia.org/wiki/Zénaïde Fleuriot
1;FRA01402_Fleuriot.xml;En congé;Zénaïde Fleuriot;Zénaïde Fleuriot;;1874;https://gallica.bnf.fr/ark:/12148/bpt6k6512266r;https://gallica.bnf.fr/ark:/12148/bpt6k6512266r;;;;printSource;https://fr.wikipedia.org/wiki/Zénaïde Fleuriot
1;FRA01403_Fleuriot.xml;Alberte;Zénaïde Fleuriot;Zénaïde Fleuriot;;1881;https://gallica.bnf.fr/ark:/12148/bpt6k6567022t;https://gallica.bnf.fr/ark:/12148/bpt6k6567022t;;;;firstEdition;https://fr.wikipedia.org/wiki/Zénaïde Fleuriot
1;FRA01501_France.xml;Les dieux ont soif;Anatole France ;Anatole France ;;1912;https://gallica.bnf.fr/ark:/12148/btv1b8600277s;https://gallica.bnf.fr/ark:/12148/btv1b8600277s;;;;firstEdition;https://fr.wikipedia.org/wiki/Anatole France 
1;FRA01601_GautierJ.xml;La Sœur du Soleil (L'Usurpateur);Judith Gautier;Judith Gautier;;1887;https://gallica.bnf.fr/ark:/12148/bpt6k811244;https://gallica.bnf.fr/ark:/12148/bpt6k811244;;;;firstEdition;https://fr.wikipedia.org/wiki/Judith Gautier
1;FRA01602_GautierJ.xml;Fleurs d'Orient;Judith Gautier;Judith Gautier;;1893;https://gallica.bnf.fr/ark:/12148/bpt6k816177;https://gallica.bnf.fr/ark:/12148/bpt6k816177;;;;firstEdition;https://fr.wikipedia.org/wiki/Judith Gautier
1;FRA01603_GautierJ.xml;Les Princesses d'Amour (Courtisanes Japonaises);Judith Gautier;Judith Gautier;;1900;https://gallica.bnf.fr/ark:/12148/bpt6k831954;https://gallica.bnf.fr/ark:/12148/bpt6k831954;;;;firstEdition;https://fr.wikipedia.org/wiki/Judith Gautier
1;FRA01701_GautierT.xml;Militona;Théophile Gautier;Théophile Gautier;;1847;https://gallica.bnf.fr/ark:/12148/bpt6k8630650v;https://gallica.bnf.fr/ark:/12148/bpt6k8630650v;;;;firstEdition;https://fr.wikipedia.org/wiki/Théophile Gautier
1;FRA01801_Gay.xml;Ellenore. 1ère série;Marie Françoise Sophie Gay;Marie Françoise Sophie Gay;;1844;https://gallica.bnf.fr/ark:/12148/bpt6k62042m;https://gallica.bnf.fr/ark:/12148/bpt6k62042m;;;;printSource;https://fr.wikipedia.org/wiki/Delphine Gay de Girardin
1;FRA01902_Gaboriau.xml;Monsieur Lecoq. L'enquête;Émile Gaboriau;Émile Gaboriau;;1869;https://gallica.bnf.fr/ark:/12148/bpt6k82609v;https://gallica.bnf.fr/ark:/12148/bpt6k82609v;;;;firstEdition;https://fr.wikipedia.org/wiki/Émile Gaboriau
1;FRA02001_Gilbert.xml;Vers le pôle en aéroplane : roman d'aventures;Jehan Gilbert;Jehan Gilbert;;1912;https://gallica.bnf.fr/ark:/12148/bpt6k65899h;https://gallica.bnf.fr/ark:/12148/bpt6k65899h;;;;firstEdition;NONE
1;FRA02101_Girardin.xml;Marguerite ou deux amours;Gay de Girardin Delphine ;Delphine Gay de Girardin;;1854;https://gallica.bnf.fr/ark:/12148/bpt6k5835784d;https://gallica.bnf.fr/ark:/12148/bpt6k5835784d;;;;firstEdition;https://fr.wikipedia.org/wiki/Delphine_de_Girardin
1;FRA02201_Gouraud.xml;Quand je serai grande;d'Aulnay Louise ;Julie Gouraud [Louise d'Aulnay];;1888;https://gallica.bnf.fr/ark:/12148/bpt6k6512275q;https://gallica.bnf.fr/ark:/12148/bpt6k6512275q;;;;firstEdition;NONE
1;FRA02202_Gouraud.xml;Le petit colporteur;Gouraud Julie ;Julie Gouraud;;1867;https://gallica.bnf.fr/ark:/12148/bpt6k65157064;https://gallica.bnf.fr/ark:/12148/bpt6k65157064;;;;firstEdition;NONE
1;FRA02203_Gouraud.xml;Les Filles du professeur;Gouraud Julie ;Julie Gouraud;;1876;https://gallica.bnf.fr/ark:/12148/bpt6k6488535s;https://gallica.bnf.fr/ark:/12148/bpt6k6488535s;;;;firstEdition;NONE
1;FRA02301_Greville.xml;La seconde mère;Henry Gréville;Henry Gréville;;1888;https://gallica.bnf.fr/ark:/12148/bpt6k68964v;https://gallica.bnf.fr/ark:/12148/bpt6k68964v;;;;firstEdition;https://fr.wikipedia.org/wiki/Henry Gréville
1;FRA02302_Greville.xml;L'amie;Henry Gréville;Henry Gréville;;1878;https://gallica.bnf.fr/ark:/12148/bpt6k65192910;https://gallica.bnf.fr/ark:/12148/bpt6k65192910;;;;firstEdition;https://fr.wikipedia.org/wiki/Henry Gréville
1;FRA02303_Greville.xml;Aridane;Henry Gréville;Henry Gréville;;1878;https://gallica.bnf.fr/ark:/12148/bpt6k6545712p;https://gallica.bnf.fr/ark:/12148/bpt6k6545712p;;;;printSource;https://fr.wikipedia.org/wiki/Henry Gréville
0;FRA02401_LeRouge.xml;L'Esclave amoureuse;LeRouge Gustave;Le Rouge Gustave;;1904;;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com/classiques-xpdf/Le_Rouge_Lesclave_amoureuse.pdf;;;digitalSource;https://fr.wikipedia.org/wiki/Gaston Leroux
1;FRA02501_Loti.xml;Mon frère Yves;Pierre Loti;Pierre Loti;;1883;https://gallica.bnf.fr/ark:/12148/bpt6k6101694w;https://gallica.bnf.fr/ark:/12148/bpt6k6101694w;;;;firstEdition;https://fr.wikipedia.org/wiki/Pierre Loti
1;FRA02601_Malot.xml;Romain Kalbris;Hector Malot;Hector Malot;;1869;https://gallica.bnf.fr/ark:/12148/bpt6k5807990m;https://gallica.bnf.fr/ark:/12148/bpt6k5807990m;;;;firstEdition;https://fr.wikipedia.org/wiki/Hector Malot
1;FRA02602_Malot.xml;Sans famille;Hector Malot;Hector Malot;;1878;https://gallica.bnf.fr/ark:/12148/bpt6k97632083;https://gallica.bnf.fr/ark:/12148/bpt6k97632083;;;;printSource;https://fr.wikipedia.org/wiki/Hector Malot
1;FRA02603_Malot.xml;Conscience;Hector Malot;Hector Malot;;1888;https://gallica.bnf.fr/ark:/12148/bpt6k912745;https://gallica.bnf.fr/ark:/12148/bpt6k912745;;;;firstEdition;https://fr.wikipedia.org/wiki/Hector Malot
1;FRA02701_Maupassant.xml;Bel-Ami;Guy de Maupassant;Guy de Maupassant;;1885;https://gallica.bnf.fr/ark:/12148/bpt6k6122274m/f10;https://www.ebooksgratuits.com/details.php?book=1289;https://www.ebooksgratuits.com/pdf/maupassant_bel_ami.pdf;;;digitalSource;https://fr.wikipedia.org/wiki/Guy de Maupassant
1;FRA02702_Maupassant.xml;Une vie;Guy de Maupassant;Guy de Maupassant;;1883;https://gallica.bnf.fr/ark:/12148/bpt6k113357j;https://gallica.bnf.fr/ark:/12148/bpt6k113357j;;;;firstEdition;https://fr.wikipedia.org/wiki/Guy de Maupassant
1;FRA02802_Mirbeau.xml;La Maréchale;Mirbeau Octave;Alain Bauquenne;André Bertera;1883;;http://beq.ebooksgratuits.com;http://beq.ebooksgratuits.com/vents-xpdf/Mirbeau-marechale.pdf;;;digitalSource;https://www.google.com/search?q=octave+mirbeau&ei=m7WHYp-EPcqoa7eMkNAF&gs_ssp=eJzj4tTP1TcwNDHOqDJg9OLLTy5JLEtVyM0sSkpNLAUAa-4ImQ&oq=octave+mirba&gs_lcp=Cgdnd3Mtd2l6EAEYADIECC4QCjIECC4QCjIECAAQCjIECC4QCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjIECAAQCjIECC4QCjoLCAAQgAQQsQMQgwE6EQguEIAEELEDEIMBEMcBEKMCOgUILhCABDoRCC4QgAQQsQMQgwEQxwEQ0QM6CAgAEIAEELEDOgUIABCABDoLCC4QgAQQsQMQgwE6CAguELEDEIMBOgsILhCABBDHARCvAToNCC4QsQMQxwEQowIQQzoECAAQQzoOCC4QgAQQsQMQxwEQ0QM6BAguEEM6CAguEIAEELEDOgcILhDUAhBDOgoILhCxAxCDARBDOg4ILhCABBCxAxDHARCvAToLCC4QgAQQsQMQ1AI6CgguELEDENQCEEM6BwgAELEDEEM6FAguEIAEELEDEIMBEMcBEK8BENQCSgQIQRgASgQIRhgAUABYiChgmzVoAnAAeACAAVSIAeIHkgECMTSYAQCgAQHAAQE&sclient=gws-wiz
